RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R:-0.019m | V: 0.925m/s | A:-62.72deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V: 0.998m/s | A:-64.71deg | X: 0.017 | Y:-0.008
  > R:-0.019m | V: 1.019m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.083m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.108m/s | A: 61.04deg | X:-0.016 | Y:-0.009
  > R:-0.019m | V: 1.129m/s | A: 44.48deg | X:-0.013 | Y:-0.013
  > R:-0.019m | V: 1.150m/s | A: 15.06deg | X:-0.005 | Y:-0.018
  > R:-0.019m | V: 1.233m/s | A: 44.48deg | X:-0.013 | Y:-0.013
  > R:-0.019m | V: 1.300m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.354m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R: 0.021m | V:-0.600m/s | A:-90.00deg | X:-0.021 | Y: 0.000
  > R: 0.991m | V:-0.599m/s | A:-90.00deg | X:-0.991 | Y: 0.000
  > R: 0.988m | V: 0.160m/s | A:-90.00deg | X:-0.988 | Y: 0.000
  > R: 1.141m | V:-0.600m/s | A:-90.00deg | X:-1.141 | Y: 0.000
  > R: 1.180m | V:-1.370m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V:-1.331m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V:-1.309m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V:-1.249m/s | A:-65.25deg | X:-1.072 | Y: 0.494
  > R: 1.180m | V:-1.143m/s | A:-63.12deg | X:-1.053 | Y: 0.534
  > R: 1.180m | V:-1.075m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V:-1.023m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V:-0.963m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.935m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.905m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.846m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.788m/s | A:-61.63deg | X:-1.039 | Y: 0.561
  > R: 1.180m | V:-0.760m/s | A: 36.50deg | X: 0.702 | Y: 0.949
  > R: 1.180m | V:-0.698m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.667m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.539m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.510m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.444m/s | A:-90.00deg | X:-1.180 | Y: 0.000
