RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

  > R: 1.180m | V: 0.522m/s | A: 22.45deg | X: 0.451 | Y: 1.091
  > R: 1.180m | V: 0.613m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.738m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.856m/s | A: 47.46deg | X: 0.870 | Y: 0.798
  > R: 1.180m | V: 0.974m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.062m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.095m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.234m/s | A: 40.54deg | X: 0.767 | Y: 0.897
  > R: 1.180m | V: 1.361m/s | A:-90.00deg | X:-1.180 | Y: 0.000

FRAME 13 | Timestamp: 1773106636.2088 | Latency: 16.16ms
  > R: 0.189m | V: 0.596m/s | A: 32.68deg | X: 0.102 | Y: 0.159
  > R: 1.023m | V: 0.259m/s | A: 31.13deg | X: 0.529 | Y: 0.875
  > R: 1.180m | V:-1.363m/s | A: 39.14deg | X: 0.745 | Y: 0.916
  > R: 1.180m | V:-1.030m/s | A: 52.97deg | X: 0.942 | Y: 0.711
  > R: 1.180m | V:-1.002m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.935m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.840m/s | A: 40.94deg | X: 0.773 | Y: 0.892
  > R: 1.180m | V:-0.755m/s | A: 30.12deg | X: 0.592 | Y: 1.021
  > R: 1.180m | V:-0.595m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.462m/s | A: 23.50deg | X: 0.471 | Y: 1.083
  > R: 1.180m | V:-0.397m/s | A: 37.80deg | X: 0.724 | Y: 0.933
  > R: 1.180m | V:-0.379m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.222m/s | A: 26.12deg | X: 0.520 | Y: 1.060
